SRI SAI Telecommunications,1,67,13.0328,77.68296,Shopping/Retail,Mobile Phone Shop
Kushbu Computers and Telecommunications,9,88,13.04229,77.49289,Local Business,Local Business
Drav Telecommunications,3,300,12.95742,77.5635099,Telecommunication,Organization
SLN Cyber Center & Telecommunication,0,145,13.29677,77.79674,Professional Service,Professional Service
Prakash Cellular Service & Training Centre,162,6237,12.978469957929,77.641986839981,Telecommunication,Repair Service
Airtel Karnataka,70,968,12.898756103661,77.600561678237,Telecommunication,Telecommunication
BSNL Karnataka,161,4538,12.9831358,77.588635,Telecommunication,Telecommunication
ITI Limited,239,1644,12.99723,77.66873,Telecommunication,Engineering Service
Nokia Bangalore,91,1138,13.03022,77.61478,Telecommunication,Telecommunication
watchy.in,72,1011,12.925667794827,77.633639698792,Telecommunication,Broadcasting & Media Production
Josh Tech Services Private Limited,18,513,12.9951899,77.5454,Telecommunication,Professional Service
Maxeed,17,272,12.93916,77.62566,Telecommunication,Professional Service
Huawei Telecommunications,372,587,12.991073,77.730007266667,Local Business,Local Business
Telecom Engineers,2,10490,12.9833,77.5833,Telecommunication,Telemarketing Service
ITI Limited,5,258,13.01079,77.67178,Telecommunication,Government Organization
Aikon E Solutions,0,473,12.922451560876,77.518077492714,Telecommunication,Professional Service
The Institute of Electronics and Telecommunications Engineers,1,2,13.023364154913,77.584764920175,Local Business,Technical Institute
Futuristic Gigatech Pvt Ltd,2,676,12.84012,77.66204,Telecommunication,Accountant,Collection Agency,Healthcare Administrator
"Borqs Software Solutions Pvt Ltd, India",68,367,12.98580225,77.5968015,Telecommunication,Telecommunication
"Virtual Knowledge Network - VKN, Centre for Addiction Medicine, Nimhans",7,1298,12.93543,77.60862,Telecommunication,Addiction Resources,Educational Service
Aircel Karnataka,154,11891,12.93543,77.60862,Telecommunication,Telecommunication
Innoz Technologies Pvt.Ltd,4,3648,12.93546,77.61556,Telecommunication,Professional Service
Real Time Signals Technology,8,5298,12.96262,77.70111,Telecommunication,Technical Institute
Classic info,5,407,12.96732,77.53704,Telecommunication,Telemarketing Service
Huawei GNOC_ Bangalore,23,301,13.003219672654,77.602958679199,Telecommunication,Telecommunication
ECU,0,108,13.02408,77.63718,Telecommunication,Mobile Phone Shop
Maxeye Technologies Private Limited,0,366,12.9626398,77.6564484,Telecommunication,Professional Service
Just 1 Miss Call,49,215,13.01742,77.59027,Telecommunication,Telecommunication
"Linkwell Telesystems PVT Ltd.,",16,296,12.980627398224,77.611020769127,Telecommunication,Manufacturing
Si3d Systems Pvt Ltd,0,379,12.96126,77.63696,Telecommunication,Radio & Communication Equipment
VGSPL Bangalore - Vodafone,76,482,12.98404,77.73724,Telecommunication,Telecommunication
Vivo Smart phone,42,920,12.984068756528,77.593264514114,Telecommunication,Mobile Phone Shop
Alaukik Accessories,0,226,13.0367603,77.5770874,Telecommunication,Electronics Store
Vodafone Mini Store,9,365,12.99789,77.55165,Telecommunication,Business Center,Mobile Phone Shop
Silver Track Systems Pvt. Ltd,0,238,13.031524654464,77.630560160234,Telecommunication,Audiovisual Equipment
Nakshatra Technologies,0,238,13.00193,77.53691,Telecommunication,Home Security
SilWid Technologies Pvt Ltd,2,33,13.00281,77.63497,Telecommunication,Telecommunication
mypostpaid.com,128,661,26.9167,75.8167,Telecommunication,Internet Service Provider
Wisense,1,226,12.9833,77.5833,Telecommunication,Computers & Electronics
KTServices India,0,178,12.9833,77.5833,Telecommunication,Internet Service Provider
